Matrix-K,Diamond-lambda,ITC,V,D_eq,Matrix-E,Matrix-JC-A,Matrix-JC-B,Matrix-JC-m,Interface-E,Interface-eta,Interface-t,effective-K,effective-a,CTE_list
151.7946137,304.2530717,739.8878891,0.123286191,0.161626448,69549.34411,36.73627872,129.6891223,0.27732119,356156.9884,1.784571122,0.000604349,142.9665946,2.03E-05,"[5.08468531927782e-09, 1.99036048246124e-05, 1.99224790168677e-05, 1.99655193848405e-05, 2.00908045636537e-05, 2.02387263985217e-05, 2.0328764138277e-05, 2.03887224938336e-05, 2.04327981383309e-05, 2.04662132787711e-05, 2.04924502645022e-05]"
175.3752923,156.955039,3311.553498,0.166077194,0.44064412,70677.29461,58.19993879,126.5701669,0.603533268,241205.4429,2.673876892,0.000692795,220.4141391,1.88E-05,"[-9.11409606537536e-09, 1.83552861640834e-05, 1.83812617217379e-05, 1.84461378428925e-05, 1.85477479848739e-05, 1.87487114891221e-05, 1.89722020053423e-05, 1.9092841486376e-05, 1.91654133046217e-05, 1.92180520387787e-05, 1.92589204716495e-05]"
187.0688156,475.3942296,90252.94091,0.038391385,0.45284251,69797.6808,69.90377507,110.1574377,0.7595558,473030.6382,2.099700296,0.000333198,203.9864517,2.22E-05,"[8.17590252016003e-09, 2.21275788792307e-05, 2.21282022500126e-05, 2.2129248246394e-05, 2.2131360129017e-05, 2.21475571130394e-05, 2.2211419978665e-05, 2.22772394642476e-05, 2.23047377087332e-05, 2.23205571265477e-05, 2.23351282203754e-05]"
235.1452872,167.4604969,84578.89516,0.328393652,0.837592546,69629.24728,42.06714194,137.5229088,0.233682827,297764.8286,1.856568871,0.000417477,441.4079435,1.48E-05,"[4.44598164441797e-09, 1.40965054583375e-05, 1.413843022445e-05, 1.42473689683461e-05, 1.44123625231407e-05, 1.46580133469541e-05, 1.49189957987142e-05, 1.51149838730814e-05, 1.52500737782489e-05, 1.5347346862774e-05, 1.54213933972514e-05]"
190.2744856,107.4577355,302.4080064,0.418213072,0.293842556,69456.88616,34.96723134,120.4405209,0.50788592,209352.7043,1.689690364,0.000199117,124.5319118,1.30E-05,"[3.18990483312516e-09, 1.17797475116947e-05, 1.19761810005983e-05, 1.23443802282589e-05, 1.28724854346547e-05, 1.3232953666243e-05, 1.33915304008752e-05, 1.3481763868902e-05, 1.35429616438966e-05, 1.35873675054071e-05, 1.36209695135874e-05]"
165.1355914,92.80896903,1269.605024,0.336872568,0.082434647,69300.52088,32.57859441,130.3084427,0.626488718,453611.8674,2.48827,0.000506588,122.9520775,1.48E-05,"[1.93112753266496e-09, 1.36325737782354e-05, 1.38251992829228e-05, 1.42269229501914e-05, 1.4777064583478e-05, 1.50301188259581e-05, 1.51492276309964e-05, 1.52251487538292e-05, 1.52778757804415e-05, 1.53166105285788e-05, 1.53462115488254e-05]"
222.2258403,57.30276997,41914.57029,0.067936071,0.336560666,69850.00687,56.66746297,124.7868901,0.701441162,270191.5771,1.760572945,0.000188791,251.6384744,2.17E-05,"[2.76404348570123e-09, 2.15141806044034e-05, 2.1516982996646e-05, 2.15244942088921e-05, 2.15525746035801e-05, 2.16559811335461e-05, 2.17516510280421e-05, 2.17892159766032e-05, 2.18160400987369e-05, 2.18384609181999e-05, 2.18563423397322e-05]"
200.2580579,324.6737885,72105.28027,0.019604598,0.008122916,70289.76347,49.63279219,139.0216125,0.445250609,222067.3846,2.572377594,0.000480702,197.7764366,2.29E-05,"[8.8483782620164e-10, 2.28299234755853e-05, 2.28308769822209e-05, 2.28355926350083e-05, 2.28474014906106e-05, 2.28773489988443e-05, 2.29014890031104e-05, 2.29138943741587e-05, 2.29223173710194e-05, 2.29288604153702e-05, 2.29341018789301e-05]"
182.7825399,265.7132787,4916.835503,0.165654455,0.120463116,70812.762,66.92544144,133.1364099,0.354811992,430172.8085,2.012892023,0.000850877,196.1104901,1.87E-05,"[-8.8213092860224e-10, 1.83384489523814e-05, 1.83550830201747e-05, 1.83952192639008e-05, 1.84507325317456e-05, 1.85276543626232e-05, 1.86645610237251e-05, 1.88393084052812e-05, 1.89649750160666e-05, 1.90422847072423e-05, 1.90972028593543e-05]"
142.1826894,196.2638164,5812.930174,0.115511563,0.66560396,69089.33715,41.36568624,101.9354702,0.566677694,469363.7824,2.618357865,0.000125433,178.1496111,2.05E-05,"[4.02175948678012e-10, 2.0105656502201e-05, 2.0126430805277e-05, 2.01832525991865e-05, 2.03859139247828e-05, 2.05700644870059e-05, 2.0641429955441e-05, 2.06897296165491e-05, 2.07244493898434e-05, 2.07502429932962e-05, 2.07707044599013e-05]"
